,medalist_name,male_archery,female_archery,male_athletics,female_athletics,male_badminton,female_badminton,male_baseball,male_basketball,female_basketball,male_boxing,male_canoeing and kayaking,female_canoeing and kayaking,male_road bicycle racing,female_road bicycle racing,male_track cycling,female_track cycling,male_mountain biking,female_mountain biking,male_bmx,female_bmx,male_diving,female_diving,female_equestrian sport,male_equestrian sport,male_fencing,female_fencing,male_field hockey,female_field hockey,male_association football,female_association football,male_artistic gymnastics,female_artistic gymnastics,female_rhythmic gymnastics,male_trampoline gymnastics,female_trampoline gymnastics,male_handball,female_handball,male_judo,female_judo,male_modern pentathlon,female_modern pentathlon,male_rowing,female_rowing,male_sailing,female_sailing,male_shooting sport,female_shooting sport,female_softball,male_swimming,female_swimming,female_synchronized swimming,male_table tennis,female_table tennis,male_taekwondo,female_taekwondo,male_tennis,female_tennis,male_triathlon,female_triathlon,male_beach volleyball,female_beach volleyball,male_volleyball,female_volleyball,male_water polo,female_water polo,male_weightlifting,female_weightlifting,male_freestyle wrestling,female_freestyle wrestling,male_greco-roman wrestling
90,Anderson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bronze,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,Anderson Rodrigues,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,silver,,,,,,,,
92,Andrae Williams,,,silver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,Andrea Duran,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,silver,,,,,,,,,,,,,,,,,,,,,,
94,Andrea Facchin,,,,,,,,,,,bronze,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,Andrea Fuentes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,silver,,,,,,,,,,,,,,,,,,,
96,Andrea Minguzzi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gold
97,Andreas Dibowski,,,,,,,,,,,,,,,,,,,,,,,,gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,Andreas Helgstrand,,,,,,,,,,,,,,,,,,,,,,,,bronze,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,Andreas Ihle,,,,,,,,,,,gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,Andreas Thorkildsen,,,gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,Andreea Acatrinei,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bronze,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,Andreea Grigore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bronze,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,Andrei Aramnau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gold,,,,
104,Andrei Bahdanovich,,,,,,,,,,,gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,Andrei Krauchanka,,,silver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,Andrejus Zadneprovskis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bronze,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,Andretti Bain,,,silver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,Andrew Byrnes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,Andrew Lauterstein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bronze,,,,,,,,,,,,,,,,,,,,,
110,Andrew Simpson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gold,,,,,,,,,,,,,,,,,,,,,,,,,,
111,Andrew Smith,,,,,,,,,,,,,,,,,,,,,,,,,,,bronze,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,Andrew Steele,,,bronze,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,Andrew Triggs Hodge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,Andrey Moiseyev,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,Andrey Silnov,,,gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,Andrija Prlainović,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bronze,,,,,,
117,Andriy Stadnik,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,silver,,
118,Andry Laffita,,,,,,,,,,silver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,André Heller,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,silver,,,,,,,,
120,André Nascimento,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,silver,,,,,,,,
121,Andréia Rosa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,silver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,Andréia Suntaque,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,silver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,Andrés Nocioni,,,,,,,,bronze,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,Aneta Konieczna,,,,,,,,,,,,silver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,Angela Hucles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
